,Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region
124,125,"
natgeotravel",82.0,45800000,189900,45800000,0.001,45800000,45800000,United States
125,126,"
vancityreynolds",86.0,45600000,1200000,45600000,0.028,45600000,45600000,
126,127,"
nikefootball",85.0,45400000,411600,45400000,0.003,45400000,45400000,United States
127,128,"
maisa",42.0,45100000,550600,45100000,0.005,45100000,45100000,Brazil
128,129,"
jannatzubair29",84.0,44600000,1300000,44600000,0.016,44600000,44600000,
129,130,"
luissuarez9",85.0,44400000,801800,44400000,0.01,44400000,44400000,
130,131,"
varundvn",84.0,44400000,1100000,44400000,0.013,44400000,44400000,India
131,132,"
j.m",83.0,44200000,14400000,44200000,0.228,44200000,44200000,
132,133,"
hrithikroshan",85.0,44200000,1600000,44200000,0.018,44200000,44200000,Côte d'Ivoire
133,134,"
gusttavolima",76.0,44100000,475100,44100000,0.007,44100000,44100000,Brazil
134,135,"
theweeknd",83.0,43800000,1100000,43800000,0.04,43800000,43800000,
135,136,"
nickyjampr",81.0,43500000,379100,43500000,0.003,43500000,43500000,Colombia
136,137,"
buzzfeedtasty",85.0,43500000,63500,43500000,0.001,43500000,43500000,Spain
137,138,"
brunamarquezine",84.0,43400000,943500,43400000,0.009,43400000,43400000,United States
138,139,"
badbunnypr",83.0,43400000,3700000,43400000,0.131,43400000,43400000,
139,140,"
kapilsharma",83.0,43100000,736300,43100000,0.015,43100000,43100000,
140,141,"
caradelevingne",86.0,42900000,790700,42900000,0.008,42900000,42900000,United States
141,142,"
norafatehi",83.0,42500000,1400000,42500000,0.018,42500000,42500000,Anguilla
142,143,"
britneyspears",80.0,42100000,511200,42100000,0.007,42100000,42100000,Turkey
143,144,"
mariliamendoncacantora",73.0,41800000,1000000,41800000,0.02,41800000,41800000,Brazil
144,145,"
dior",85.0,41800000,86600,41800000,0.001,41800000,41800000,
145,146,"
cznburak",80.0,41400000,837900,41400000,0.011,41400000,41400000,
